Movie Name	Storyline
1. Fallout	In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.
2. Cross	Series adaptation of James Patterson novels about the complicated and brilliant detective, Alex Cross.
3. Landman	A modern-day tale of fortune seeking in the world of West Texas oil rigs.
4. High Potential	A single mom with three kids helps solve an unsolvable crime when she rearranges some evidence during her shift as a police department cleaner.
5. The Substance	A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.
6. The Life of Chuck	A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.
7. Cellar Door	Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences.
8. Blink Twice	When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.
9. Eden	Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.
10. We Bury the Dead	After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.
11. Trap	A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
12. Shōgun	When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.
13. Dune: Part Two	Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.
14. The Day of the Jackal	The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.
15. Tracker	Colter Shaw travels the country in his old-school RV, helping police and private citizens solve crimes and locate missing persons--until his latest case changes everything.
16. The Gentlemen	When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere.
17. A Man on the Inside	Charles, a retired man, gets a new lease on life when he answers an ad from a private investigator and becomes a mole in a secret investigation in a nursing home.
18. 3 Body Problem	A fateful decision made in 1960s China reverberates in the present, where a group of scientists partner with a detective to confront an existential planetary threat.
19. Anora	A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.
20. Like Water for Chocolate	Star-crossed lovers Tita and Pedro's romance is thwarted by her family's traditions, forcing Tita to navigate magic and flavors in the kitchen as she fights for love and embraces her destined path.
21. Bone Lake	A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.
22. Heretic	Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
23. Nosferatu	A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.
24. Relay	A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
25. Solo Leveling	Follows the adventures of Sung Jinwoo in a world that is constantly threatened by monsters and evil forces. In his battles Sung transforms himself from the weakest hunter of all mankind to one of the strongest hunters in existence.
26. Abigail	After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.
27. Dark Matter	A man is abducted into an alternate version of his life. Amid the mind-bending landscape of lives he could've lived, he embarks on a harrowing journey to get back to his true family and save them from a most terrifying foe: himself..
28. Red Eye	A London Detective investigations lead her into the world of National Security.
29. Ted	It's 1993, and Ted the bear's moment of fame has passed. He's living back home with his best friend, John Bennett, and his family. While Ted may be a lousy influence on John, he's a loyal pal who will go out on a limb for friendship.
30. The Ministry of Ungentlemanly Warfare	The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
31. Reunion	Snowbound at their high school reunion, former classmates uncover a murder and scramble to identify the killer among them before they're all iced out for good.
